iter	Passed	Remaining
424	46467	69317
425	46573	69204
426	46679	69089
427	46779	68967
428	46877	68840
429	46975	68715
430	47077	68595
431	47205	68514
432	47314	68404
433	47424	68295
434	47521	68169
435	47682	68133
436	47794	68027
437	47900	67913
438	47994	67783
439	48092	67657
440	48200	67545
441	48306	67431
442	48421	67331
443	48526	67215
444	48634	67104
445	48741	66992
446	48850	66882
447	48946	66755
448	49047	66634
449	49152	66519
450	49252	66397
451	49354	66279
452	49454	66157
453	49551	66032
454	49670	65935
455	49767	65810
456	49876	65701
457	49981	65586
458	50075	65457
459	50166	65325
460	50273	65214
461	50368	65086
462	50474	64973
463	50598	64884
464	50706	64773
465	50820	64670
466	50942	64578
467	51056	64475
468	51156	64354
469	51252	64229
470	51347	64102
471	51450	63986
472	51552	63868
473	51662	63760
474	51767	63647
475	51894	63559
476	52000	63446
477	52109	63338
478	52235	63250
479	52330	63123
480	52441	63017
481	52565	62926
482	52672	62814
483	52773	62695
484	52901	62608
485	53012	62502
486	53116	62386
487	53243	62298
488	53339	62175
489	53443	62059
490	53550	61948
491	53650	61829
492	53745	61703
493	53854	61594
494	53956	61477
495	54068	61371
496	54166	61250
497	54326	61198
498	54550	61219
499	54690	61144
500	54803	61038
501	54913	60929
502	55007	60803
503	55128	60707
504	55239	60598
505	55353	60495
506	55486	60411
507	55601	60308
508	55705	60192
509	55813	60081
510	55920	59969
511	56027	59858
512	56142	59753
513	56255	59648
514	56358	59532
515	56470	59424
516	56593	59329
517	56711	59229
518	56824	59123
519	56929	59009
520	57041	58903
521	57152	58794
522	57238	58661
523	57329	58533
524	57435	58419
525	57548	58314
526	57655	58202
527	57751	58079
528	57887	57996
529	57992	57883
530	58122	57794
531	58248	57700
532	58372	57605
533	58485	57499
534	58601	57397
535	58744	57319
536	58865	57221
537	58986	57122
538	59080	56998
539	59175	56874
540	59277	56757
541	59376	56637
542	59484	56526
543	59605	56428
544	59705	56309
545	59798	56184
546	59910	56077
547	60012	55960
548	60125	55854
549	60234	55744
550	60340	55631
551	60454	55525
552	60561	55414
553	60662	55296
554	60759	55176
555	60859	55058
556	60962	54943
557	61056	54819
558	61162	54707
559	61259	54586
560	61364	54473
561	61476	54365
562	61598	54267
563	61697	54149
564	61800	54034
565	61923	53937
566	62026	53822
567	62136	53713
568	62237	53596
569	62336	53477
570	62461	53382
571	62574	53276
572	62682	53165
573	62779	53045
574	62875	52925
575	62972	52804
576	63096	52707
577	63225	52615
578	63327	52499
579	63425	52381
580	63532	52269
581	63636	52155
582	63731	52034
583	63829	51915
584	63934	51802
585	64046	51696
586	64144	51577
587	64254	51468
588	64363	51359
589	64457	51238
590	64574	51135
591	64692	51033
592	64814	50933
593	64925	50825
594	65022	50706
595	65129	50595
596	65238	50486
597	65334	50366
598	65430	50247
599	65548	50144
600	65658	50035
601	65772	49930
602	65905	49838
603	66024	49736
604	66124	49620
605	66225	49505
606	66333	49395
607	66441	49285
608	66545	49171
609	66659	49065
610	66755	48946
611	66862	48836
612	66959	48717
613	67068	48608
614	67162	48487
615	67268	48376
616	67380	48269
617	67490	48160
618	67595	48048
619	67708	47942
620	67800	47820
621	67905	47708
622	68014	47599
623	68127	47492
624	68237	47384
625	68353	47279
626	68451	47162
627	68562	47055
628	68671	46945
629	68784	46838
630	68891	46728
631	68992	46613
632	69098	46502
633	69196	46385
634	69293	46268
635	69391	46151
636	69515	46052
637	69633	45949
638	69737	45836
639	69849	45729
640	69946	45612
641	70042	45495
642	70141	45379
643	70254	45272
644	70368	45166
645	70500	45072
646	70610	44963
647	70706	44846
648	70797	44725
649	70902	44613
650	71012	44505
651	71129	44401
652	71239	44293
653	71356	44188
654	71473	44084
655	71577	43971
656	71680	43859
657	71786	43748
658	71895	43639
659	72012	43534
660	72119	43424
661	72226	43313
662	72334	43204
663	72442	43094
664	72549	42984
665	72653	42871
666	72749	42755
667	72853	42643
668	72946	42525
669	73046	42410
670	73155	42301
671	73246	42182
672	73335	42061
673	73422	41939
674	73569	41852
675	73682	41745
676	73800	41642
677	73923	41540
678	74041	41436
679	74149	41327
680	74259	41218
681	74405	41130
682	74520	41024
683	74655	40929
684	74753	40814
685	74886	40718
686	74983	40602
687	75095	40494
688	75193	40379
689	75306	40272
690	75413	40162
691	75512	40047
692	75639	39947
693	75738	39833
694	75837	39719
695	75966	39620
696	76066	39506
697	76174	39396
698	76279	39285
699	76366	39165
700	76485	39060
701	76581	38945
702	76680	38831
703	76769	38711
704	76867	38597
705	76980	38490
706	77079	38376
707	77196	38271
708	77308	38163
709	77428	38059
710	77552	37958
711	77652	37844
712	77759	37734
713	77866	37624
714	77973	37514
715	78073	37401
716	78183	37292
717	78288	37181
718	78391	37069
719	78512	36966
720	78627	36860
721	78744	36754
722	78843	36640
723	78945	36528
724	79044	36415
725	79140	36300
726	79233	36183
727	79341	36074
728	79449	35964
729	79574	35863
730	79680	35752
731	79789	35643
732	79913	35541
733	80012	35427
734	80127	35321
735	80227	35208
736	80327	35095
737	80432	34984
738	80534	34873
739	80626	34756
740	80716	34639
741	80817	34527
742	80927	34418
743	81044	34313
744	81135	34196
745	81257	34093
746	81374	33987
747	81477	33876
748	81584	33766
749	81683	33653
750	81793	33545
751	81892	33432
752	82003	33324
753	82105	33212
754	82212	33102
755	82319	32992
756	82431	32885
757	82555	32782
758	82656	32670
759	82756	32558
760	82855	32445
761	82964	32336
762	83056	32221
763	83148	32105
764	83247	31993
765	83351	31882
766	83463	31775
767	83575	31667
768	83667	31552
769	83797	31451
770	83902	31341
771	84032	31239
772	84128	31126
773	84232	31015
774	84351	30910
775	84472	30806
776	84576	30695
777	84675	30583
778	84773	30470
779	84875	30359
780	84992	30253
781	85103	30145
782	85218	30038
783	85331	29931
784	85447	29825
785	85548	29713
786	85645	29600
787	85741	29487
788	85852	29379
789	85977	29275
790	86089	29168
791	86203	29061
792	86311	28951
793	86401	28836
794	86564	28746
795	86653	28630
796	86760	28520
797	86883	28416
798	86982	28304
799	87094	28196
800	87197	28086
801	87294	27973
802	87392	27861
803	87503	27752
804	87615	27645
805	87725	27536
806	87830	27426
807	87932	27315
808	88027	27202
809	88126	27090
810	88260	26989
811	88372	26881
812	88482	26773
813	88585	26662
814	88697	26554
815	88805	26445
816	88904	26334
817	89017	26226
818	89116	26114
819	89210	26001
820	89316	25892
821	89434	25785
822	89546	25677
823	89643	25565
824	89740	25453
825	89846	25344
826	89942	25231
827	90073	25129
828	90168	25016
829	90263	24904
830	90359	24791
831	90459	24680
832	90568	24571
833	90667	24460
834	90760	24347
835	90873	24240
836	90971	24128
837	91074	24018
838	91190	23911
839	91331	23811
840	91452	23705
841	91564	23598
842	91655	23484
843	91755	23373
844	91863	23264
845	91958	23152
846	92057	23041
847	92149	22928
848	92260	22820
849	92380	22714
850	92484	22604
851	92595	22496
852	92720	22392
853	92872	22293
854	93012	22192
855	93159	22092
856	93299	21991
857	93442	21890
858	93557	21782
859	93696	21680
860	93806	21572
861	93914	21463
862	94016	21352
863	94139	21246
864	94252	21138
865	94348	21026
866	94472	20921
867	94583	20812
868	94687	20702
869	94809	20596
870	94910	20485
871	95013	20375
872	95122	20266
873	95242	20159
874	95361	20053
875	95470	19944
876	95585	19836
877	95700	19728
878	95829	19623
879	96008	19528
880	96159	19428
881	96275	19320
882	96400	19214
883	96516	19106
884	96615	18995
885	96722	18885
886	96818	18774
887	96924	18664
888	97016	18552
889	97124	18442
890	97218	18330
891	97313	18219
892	97421	18109
893	97534	18001
894	97634	17890
895	97779	17788
896	97884	17678
897	98001	17570
898	98139	17466
899	98271	17361
900	98431	17261
901	98563	17155
902	98697	17050
903	98839	16946
904	98948	16837
905	99060	16728
906	99184	16621
907	99298	16513
908	99431	16407
909	99529	16296
910	99627	16185
911	99722	16073
912	99820	15962
913	99925	15852
914	100037	15743
915	100134	15632
916	100221	15519
917	100348	15412
918	100452	15302
919	100551	15191
920	100644	15080
921	100762	14972
922	100867	14862
923	100966	14751
924	101089	14644
925	101198	14534
926	101304	14425
927	101408	14315
928	101524	14206
929	101632	14097
930	101742	13988
931	101847	13878
932	101942	13767
933	102039	13656
934	102134	13545
935	102237	13435
936	102367	13328
937	102464	13217
938	102562	13106
939	102662	12996
940	102770	12887
941	102893	12779
942	102999	12670
943	103109	12561
944	103237	12454
945	103349	12345
946	103463	12236
947	103579	12127
948	103697	12019
949	103801	11909
950	103906	11800
951	104012	11690
952	104107	11579
953	104238	11472
954	104350	11363
955	104477	11256
956	104589	11147
957	104714	11039
958	104825	10930
959	104949	10822
960	105045	10712
961	105158	10603
962	105246	10491
963	105349	10381
964	105449	10271
965	105543	10160
966	105641	10050
967	105745	9940
968	105844	9830
969	105955	9721
970	106044	9610
971	106151	9501
972	106266	9392
973	106390	9284
974	106509	9176
975	106605	9065
976	106688	8954
977	106777	8843
978	106896	8735
979	107016	8626
980	107126	8517
981	107225	8407
982	107327	8297
983	107428	8188
984	107538	8079
985	107645	7969
986	107743	7859
987	107841	7749
988	107966	7641
989	108072	7532
990	108165	7422
991	108272	7312
992	108370	7202
993	108488	7094
994	108608	6985
995	108708	6876
996	108800	6765
997	108896	6655
998	109017	6547
999	109143	6439
1000	109263	6330
1001	109366	6221
1002	109463	6111
1003	109571	6002
1004	109690	5893
1005	109795	5784
1006	109904	5675
1007	109997	5565
1008	110094	5455
1009	110188	5345
1010	110307	5237
1011	110415	5128
1012	110530	5019
1013	110627	4909
1014	110733	4800
1015	110837	4690
1016	110926	4581
1017	111013	4471
1018	111116	4361
1019	111225	4252
1020	111321	4143
1021	111420	4033
1022	111511	3924
1023	111600	3814
1024	111708	3705
1025	111819	3596
1026	111928	3487
1027	112036	3378
1028	112145	3269
1029	112250	3160
1030	112352	3051
1031	112455	2942
1032	112556	2832
1033	112655	2723
1034	112745	2614
1035	112855	2505
1036	112956	2396
1037	113056	2287
1038	113165	2178
1039	113273	2069
1040	113382	1960
1041	113496	1851
1042	113587	1742
1043	113689	1633
1044	113786	1524
1045	113892	1415
1046	114030	1306
1047	114123	1197
1048	114229	1088
1049	114331	979
1050	114433	871
1051	114525	762
1052	114612	653
1053	114734	544
1054	114839	435
1055	114942	326
1056	115073	217
1057	115183	108
1058	115293	0
